Bar Name,Brand Name,model,MAE,RMSE,WAPE
Main Bar,Brand A,7-day moving average,395.92809330431754,522.0341359781805,0.14600603565447282
Main Bar,Brand A,Holt-Winters,224.4921456988045,281.2419415211379,0.08278576030182229
Main Bar,Brand A,Random Forest,227.13136788947642,280.4478394778277,0.0837590238205975
Main Bar,Brand B,7-day moving average,208.34540089676966,234.79700464908203,0.12773907461484824
Main Bar,Brand B,Holt-Winters,121.99171396231388,159.60251691243974,0.07479458910612721
Main Bar,Brand B,Random Forest,121.61982273560693,163.73897113812941,0.07456657811595199
Main Bar,Brand C,7-day moving average,123.63910256075322,142.3584139183979,0.16610335259599499
Main Bar,Brand C,Holt-Winters,65.52200697307366,77.32906617831802,0.08802575238442747
Main Bar,Brand C,Random Forest,65.02975214669355,80.16048768978614,0.0873644310443351
Pool Bar,Brand A,7-day moving average,342.58409880918504,430.69656824284334,0.1916045765394435
Pool Bar,Brand A,Holt-Winters,229.07770132775826,304.33166672221313,0.1281213462916202
Pool Bar,Brand A,Random Forest,276.42821433961154,345.4980024243775,0.15460411366493856
Pool Bar,Brand B,7-day moving average,199.11983845933094,232.5044538606736,0.1874409869085606
Pool Bar,Brand B,Holt-Winters,171.00029612747346,202.82593909003958,0.1609707225346924
Pool Bar,Brand B,Random Forest,162.81906564017623,186.8078152471163,0.1532693406506437
Pool Bar,Brand C,7-day moving average,72.19222092209377,93.26819512774877,0.16098269814837404
Pool Bar,Brand C,Holt-Winters,58.73244946411406,72.27803118425818,0.13096851797646414
Pool Bar,Brand C,Random Forest,64.09808068039345,75.53348333121296,0.14293343302455414
